Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SUBSOL 009,Caspa (3),Terminator (Trolley Snatcha Remix) / Marmite (Doctor P Remix),Sub Soldiers,"12""",,2010,2359132,Uncategorized,2013-07-17 20:45:42,,,
SUBSOL 010,Caspa (3),Back For The First Time,Sub Soldiers,"12""",,2010,2413562,Uncategorized,2013-07-17 20:44:55,,,
JTU AL 33,Bob Marley & The Wailers,Bob Marley And The Wailers,Surprise (3),"LP, Comp",,0,1135407,Uncategorized,2017-02-26 23:19:15,,,
SYSTM021,Kromestar,Davinchi Kode,System Music (2),"12""",,2018,11548016,Uncategorized,2023-01-13 16:31:58,Mint (M),Generic,
TECH068,"Drumsound & Simon ""Bassline"" Smith",Fu Manchu,Technique Recordings,"12"", Promo",,2010,4190688,Uncategorized,2017-02-26 05:13:29,,,
Magnet001,Magnetic Man Feat. Skream + Benga + Artwork,The Cyberman,Tempa,"12""",,2009,1709659,Uncategorized,2014-05-18 00:10:26,,,
TEMPA 034,SP:MC,Trust Nobody / Future,Tempa,"12""",,2008,1300299,Uncategorized,2014-05-18 00:11:48,,,
TEMPA 043,Benga,Buzzin' / One Million,Tempa,"12""",,2009,1791922,Uncategorized,2014-05-18 00:12:20,,,
Tempa 060,SP:MC & LX One,Hunted / Oh My Gosh,Tempa,"12""",,2011,3228743,Uncategorized,2017-02-25 22:31:18,,,
Tempa 068,Soap Dodgers,Ill Minded,Tempa,"12""",,2012,3790081,Uncategorized,2017-02-25 22:32:01,,,
Tempa 074,LX One & Youngsta,Responsibility / No Cure,Tempa,"12""",,2013,4449704,Uncategorized,2013-08-11 18:48:23,,,
Tempa 075,SP:MC,Declassified EP,Tempa,"2x12"", EP",,2013,4490061,Uncategorized,2013-08-18 03:44:47,,,
Tempa 076,Truth (18),Devil's Hands,Tempa,"12""",,2013,4571187,Uncategorized,2017-02-25 22:32:16,,,
Tempa 083,J:Kenzo,Magneto (Feel It) / TVR,Tempa,"12""",,2013,5056543,Uncategorized,2017-02-25 22:32:33,,,
Tempa 084,Youngsta & Seven (30),Architects / War Cry,Tempa,"12""",,2013,5097989,Uncategorized,2017-02-26 17:36:37,,,
Tempa. 051,Various,Tempa Allstars Vol. 6,Tempa,"2x12"", Comp",,2010,2502331,Uncategorized,2014-05-18 00:11:21,,,
Tempa.056,J:Kenzo,The Roteks / Protected,Tempa,"12""",,2011,2856422,Uncategorized,2017-02-25 22:33:49,,,
Tempa.069,Proxima (4),Lie Detection / Brainstem,Tempa,"12""",,2012,3863082,Uncategorized,2017-02-25 22:34:50,,,
TEMPA053-2,Skream Feat. Sam Frank,Where You Should Be,Tempa,"12"", Single",,2011,2917836,Uncategorized,2013-08-10 03:59:23,,,
TEMPA077,Proxima (4),Thermal Vision,Tempa,"12""",,2013,4612852,Uncategorized,2013-08-10 15:31:41,,,
TEMPA082,Truth (18),Chicks & Drugs / Empire,Tempa,"12""",,2013,4950239,Uncategorized,2014-05-18 00:13:50,,,
TEMPALP 008,Skream,Skream!,Tempa,"3x12"", Album",,2006,799189,Uncategorized,2014-05-18 00:12:49,,,
TNSLP002,Calibre,Double Bend,The Nothing Special,"3x12"", Album, 180",,2022,22793690,Uncategorized,2022-12-15 06:21:20,,,
TIMEDANCE024,Air Max '97,Psyllium / Eat The Rich,Timedance,"12""",,2021,20263804,Uncategorized,2022-12-20 15:56:52,,,
TINTV005,Odd Mob / Planet Funk,Left To Right / Chase The Sun,Tinted Records,"12""",,2022,25018552,Uncategorized,2022-12-31 08:38:34,,,
6.23050 AG,Bob Marley & The Wailers,Rasta Revolution,Trojan Records,"LP, Comp, RE",,1977,1841573,Uncategorized,2017-02-26 23:16:12,,,
B0018552-01,Various,Verve Remixed: The First Ladies,Verve Records,"LP + LP, Red",,2013,4780373,Uncategorized,2014-05-18 00:15:51,,,
MAU5LP05,Deadmau5,4x4=12,"Virgin, Mau5trap Recordings","LP, Red + LP, Gre + Album, Ltd, Num",,2010,2630359,Uncategorized,2017-02-25 22:26:17,,,
WHEELYDEALY033,Soap Dodgers,Unleashed EP,Wheel & Deal Records,"2x12"", EP",,2012,3760409,Uncategorized,2013-07-27 17:57:12,,,
WHEELYDEALY035,LX One,Losing Control / On My Own,Wheel & Deal Records,"12""",,2012,4064189,Uncategorized,2013-08-04 00:06:54,,,
WHEELYDEALY037,Benton (4),Reflections,Wheel & Deal Records,"12"", Smplr, W/Lbl",,2013,4606076,Uncategorized,2013-08-04 00:07:41,,,
WL02,Skism (4),The Blank,Wicky Lindows,"12""",,2009,1714634,Uncategorized,2013-07-17 20:46:37,,,
ZAMZAM 85,Allen Wootton,Every Knee Shall Bow ,ZamZam Sounds,"7"", Ltd",,2021,20707693,Uncategorized,2023-01-24 06:01:18,Near Mint (NM or M-),Near Mint (NM or M-),
ZAMZAM39,Compa,Shaka's Truth / Athå Dub,ZamZam Sounds,"7""",,2016,8527976,Uncategorized,2023-01-24 06:01:18,Very Good Plus (VG+),Very Good Plus (VG+),
ZAMZAM67,VersA (2),Seed / Planting,ZamZam Sounds,"7""",,2018,12903136,Uncategorized,2023-01-24 06:01:18,Very Good Plus (VG+),Very Good Plus (VG+),
ZAMZAM70,Marcus Anbessa,March Of The Falasha,ZamZam Sounds,"7""",,2019,13517888,Uncategorized,2023-01-24 06:01:18,Near Mint (NM or M-),Near Mint (NM or M-),
